outer_fold,segments,top_k,pr_auc,f1
1,1,1,0.6866674718567459,0.6579894179894179
1,1,2,0.6866674718567459,0.6579894179894179
1,1,3,0.6866674718567459,0.6579894179894179
1,2,1,0.7506314057713028,0.6888888888888887
1,2,2,0.6866674718567459,0.6579894179894179
1,2,3,0.6866674718567459,0.6579894179894179
1,3,1,0.8679682883254312,0.7175132275132274
1,3,2,0.8318972922502333,0.7156084656084656
1,3,3,0.6866674718567459,0.6579894179894179
1,4,1,0.8692170822009532,0.7672679172679172
1,4,2,0.8242911289252752,0.7942328042328042
1,4,3,0.7124611271411648,0.698095238095238
1,5,1,0.8786063936063936,0.7528571428571429
1,5,2,0.8359208940408406,0.7815343915343915
1,5,3,0.756902487979163,0.726984126984127
1,6,1,0.8520189210950079,0.7289947089947089
1,6,2,0.8286909121467944,0.7063492063492062
1,6,3,0.7926222788136683,0.7206349206349205
1,7,1,0.8993024227234752,0.7074603174603175
1,7,2,0.8418846260951524,0.7304232804232804
1,7,3,0.8138187491097483,0.6944444444444444
1,8,1,0.8289425534905411,0.722222222222222
1,8,2,0.8450239998848058,0.7170899470899471
1,8,3,0.8303715479716287,0.7431216931216931
1,9,1,0.8516885238944062,0.708941798941799
1,9,2,0.8459125054383673,0.7134920634920635
1,9,3,0.821124457371597,0.707936507936508
1,10,1,0.8356707580918107,0.7226984126984128
1,10,2,0.8330061294110529,0.7778306878306878
1,10,3,0.8135000313328485,0.7304232804232804
1,11,1,0.8021546727278992,0.7125396825396826
1,11,2,0.8436850365771933,0.7196825396825395
1,11,3,0.8259556693767219,0.7452380952380951
1,12,1,0.8220784852402497,0.691005291005291
1,12,2,0.8468244289585751,0.7134920634920635
1,12,3,0.8285140380351715,0.7063492063492063
1,13,1,0.7941922827512363,0.6789417989417988
1,13,2,0.8169231196842008,0.7544973544973544
1,13,3,0.8193473750478394,0.7446031746031745
1,14,1,0.7762927627927627,0.6367195767195767
1,14,2,0.8352563067673879,0.7163492063492065
1,14,3,0.8109983472888403,0.7119047619047618
1,15,1,0.7633202425860828,0.6869841269841269
1,15,2,0.8270014546632815,0.7193650793650793
1,15,3,0.8284037957898407,0.7134920634920634
2,1,1,0.6697348545994148,0.5603174603174603
2,1,2,0.6697348545994148,0.5603174603174603
2,1,3,0.6697348545994148,0.5603174603174603
2,2,1,0.7276878706521249,0.6925396825396825
2,2,2,0.6697348545994148,0.5603174603174603
2,2,3,0.6697348545994148,0.5603174603174603
2,3,1,0.874004034719008,0.7428571428571428
2,3,2,0.819634720118591,0.6817123617123617
2,3,3,0.6697348545994148,0.5603174603174603
2,4,1,0.8797278681120143,0.7505483405483404
2,4,2,0.8225384140475603,0.7852380952380952
2,4,3,0.7110249339379267,0.6774603174603174
2,5,1,0.8880749805749806,0.766878306878307
2,5,2,0.8357592871318856,0.7852380952380952
2,5,3,0.7332710227562409,0.7311640211640212
2,6,1,0.852871693121693,0.7478835978835979
2,6,2,0.8275550167284632,0.7351851851851852
2,6,3,0.7644971410388433,0.7238095238095237
2,7,1,0.8944929453262787,0.774973544973545
2,7,2,0.8462889547100072,0.7123809523809523
2,7,3,0.7644430952995648,0.7193121693121692
2,8,1,0.8043874458874458,0.6686435786435787
2,8,2,0.844353032889646,0.7006878306878305
2,8,3,0.8156388097196919,0.73994708994709
2,9,1,0.8593434343434343,0.766984126984127
2,9,2,0.8341095323434033,0.705978835978836
2,9,3,0.7824747512126027,0.6844973544973544
2,10,1,0.8359998704351527,0.774973544973545
2,10,2,0.8311573396790114,0.717936507936508
2,10,3,0.7940039566313505,0.7351851851851852
2,11,1,0.7724593866529432,0.7133862433862433
2,11,2,0.832735408219279,0.7216931216931216
2,11,3,0.8025112793273042,0.7216931216931216
2,12,1,0.8178648443251125,0.6675324675324675
2,12,2,0.8342800708872138,0.7146031746031746
2,12,3,0.7956282410270508,0.705978835978836
2,13,1,0.777283822816989,0.6798412698412697
2,13,2,0.8194791221911409,0.7216931216931216
2,13,3,0.7947112173602112,0.7216931216931216
2,14,1,0.7351763682836615,0.7117460317460317
2,14,2,0.813597593421493,0.7415343915343916
2,14,3,0.7725466039596472,0.7351851851851852
2,15,1,0.7645915453993766,0.6850793650793651
2,15,2,0.7975839655444917,0.6806349206349207
2,15,3,0.7858712422842856,0.7351851851851852
3,1,1,0.6474108543347226,0.6476190476190475
3,1,2,0.6474108543347226,0.6476190476190475
3,1,3,0.6474108543347226,0.6476190476190475
3,2,1,0.7009928941690069,0.6803174603174601
3,2,2,0.6474108543347226,0.6476190476190475
3,2,3,0.6474108543347226,0.6476190476190475
3,3,1,0.8450000000000001,0.6815873015873015
3,3,2,0.8234672654931274,0.6538095238095238
3,3,3,0.6474108543347226,0.6476190476190475
3,4,1,0.8799760424760424,0.7174074074074075
3,4,2,0.832598917438247,0.7480952380952381
3,4,3,0.6628440244369437,0.6930158730158731
3,5,1,0.877169905919906,0.7675132275132275
3,5,2,0.8375583872642696,0.7480952380952381
3,5,3,0.6883302222856952,0.6930158730158731
3,6,1,0.8514553964553965,0.7395238095238097
3,6,2,0.824730696619491,0.6712698412698413
3,6,3,0.7307652526564173,0.6930158730158731
3,7,1,0.865393618726952,0.6391005291005291
3,7,2,0.8476090557378589,0.6511111111111112
3,7,3,0.7802845618010512,0.6723809523809524
3,8,1,0.8263335847028639,0.7307936507936509
3,8,2,0.8561881150927805,0.6452380952380953
3,8,3,0.831142625192481,0.6887830687830687
3,9,1,0.8432142072902944,0.7552380952380953
3,9,2,0.8342820199108232,0.689047619047619
3,9,3,0.7676923557050598,0.6676190476190477
3,10,1,0.8363701872030044,0.7098941798941799
3,10,2,0.8309862581058233,0.6688888888888889
3,10,3,0.804467210183279,0.6712698412698413
3,11,1,0.7688165444955727,0.7252380952380952
3,11,2,0.844762870571694,0.7068253968253969
3,11,3,0.8115054652526048,0.689047619047619
3,12,1,0.8265538725176196,0.6858730158730159
3,12,2,0.830067696412369,0.7012698412698413
3,12,3,0.804960711802817,0.689047619047619
3,13,1,0.7793274073059375,0.6374074074074073
3,13,2,0.821072849425252,0.733015873015873
3,13,3,0.800162461323452,0.7195238095238096
3,14,1,0.7418341432725316,0.7252380952380952
3,14,2,0.8236559090253496,0.7012698412698413
3,14,3,0.784669859528464,0.689047619047619
3,15,1,0.7599584520417852,0.6512698412698411
3,15,2,0.8099682655952005,0.7012698412698413
3,15,3,0.7903948745899209,0.7195238095238096
4,1,1,0.7064417248380833,0.5965079365079365
4,1,2,0.7064417248380833,0.5965079365079365
4,1,3,0.7064417248380833,0.5965079365079365
4,2,1,0.7777730775795291,0.6527513227513227
4,2,2,0.7064417248380833,0.5965079365079365
4,2,3,0.7064417248380833,0.5965079365079365
4,3,1,0.8661898344243358,0.6976719576719577
4,3,2,0.8382453517918634,0.7004232804232804
4,3,3,0.7064417248380833,0.5965079365079365
4,4,1,0.8577643604867422,0.7050793650793652
4,4,2,0.8291370384188441,0.7882010582010583
4,4,3,0.7459803051981961,0.7069841269841269
4,5,1,0.9089090909090908,0.716984126984127
4,5,2,0.8526535370504514,0.7480423280423281
4,5,3,0.7727520989373384,0.7200000000000001
4,6,1,0.8516565515094928,0.7302116402116403
4,6,2,0.8457777246907682,0.7402645502645503
4,6,3,0.7966071746795484,0.7228571428571428
4,7,1,0.9025673742848538,0.7425396825396826
4,7,2,0.8676026192556743,0.7476719576719577
4,7,3,0.8287133560898706,0.7065079365079365
4,8,1,0.8515409848149784,0.7387830687830689
4,8,2,0.8647077613744281,0.7480423280423281
4,8,3,0.8373928784393901,0.7694708994708995
4,9,1,0.8721138084863576,0.7441798941798943
4,9,2,0.8575851925851925,0.7316931216931216
4,9,3,0.8208374991939523,0.7377777777777778
4,10,1,0.8758446786707659,0.7440211640211642
4,10,2,0.8642270531400967,0.7611640211640213
4,10,3,0.8499408831908831,0.7480423280423281
4,11,1,0.8262781392598838,0.76989417989418
4,11,2,0.8591758835494534,0.7402645502645503
4,11,3,0.8314938220820574,0.7882010582010583
