segments,pr_auc_mean,pr_auc_std,f1_mean,f1_std
1,0.647159604164532,0.03301044817785371,0.825490235124777,0.018731570633051392
2,0.7419534822240041,0.03154897376882551,0.825329347795049,0.01433155493095574
3,0.8977914568467661,0.01563425483764797,0.8251556426191022,0.01195794070978747
4,0.9009938309959749,0.013355162493297133,0.8257758768597744,0.008178811106436515
5,0.9085655090203439,0.016878272392923933,0.8263893303579212,0.005328667759985275
6,0.9181475936859088,0.0109278136794353,0.8269502883640243,0.0034740946828032797
7,0.925749417155908,0.009956485136159087,0.8276013396096527,0.002029424853248636
8,0.8404632801242138,0.01970536295859975,0.8279602292320619,0.001674827587498663
9,0.9197180407389192,0.011019896616680486,0.8286232801880982,0.0018929450945953774
10,0.8883251064304227,0.017945225029811423,0.8290735455642201,0.0024933656894326117
11,0.7881796134838979,0.024024140215355153,0.829314849572484,0.0027577066157482713
12,0.84296443356546,0.022062556490929055,0.829373113582522,0.0027819783146990577
13,0.817274313551462,0.024287111178576203,0.8293309995924192,0.002756449025675759
14,0.769454503388527,0.02528920022557265,0.8295132955655086,0.0029341353215426953
15,0.8213726211184834,0.022958999456725263,0.829567182446959,0.003013089879736777
