segments,pr_auc_mean,pr_auc_std,f1_mean,f1_std
1,0.697231348294873,0.05044082072572715,0.8248656684891025,0.022882976334136433
2,0.7647306495634141,0.04581920068847206,0.8245364273911495,0.020817007760403558
3,0.8816002138287664,0.03356972452609872,0.8246879066578169,0.018528528075506704
4,0.8864606754942737,0.024519458253147067,0.8256714330444901,0.015449919190539431
5,0.9017700217473268,0.02782439289622821,0.8267137105690108,0.013144492924872221
6,0.8686915613962486,0.029652901066488966,0.8273240566428215,0.011982421771766633
7,0.9007689555700918,0.03257664148192371,0.8281056000344531,0.01069342339730341
8,0.8483282491171675,0.03463475453292428,0.8287043456573926,0.009937128465944812
9,0.8767438513983375,0.028485942895956465,0.8294442246520799,0.009178176367826944
10,0.8588985501852802,0.026700659946436032,0.8299206004104948,0.008718034147269797
11,0.8129072979852839,0.03999949343364157,0.8302843202278438,0.008463824601002236
12,0.8500081984418163,0.027826238222664303,0.8306592600447639,0.008247335961823426
13,0.8193500420287574,0.034922313344106004,0.8309806786325287,0.008097478541521874
14,0.7856334678079134,0.04324595391495309,0.8311778274509911,0.00804169484424694
15,0.7852786723600809,0.04124213666060647,0.8312088303437626,0.008120469948254128
