fold,segments,top_k,threshold,pr_auc,f1,precision,recall
1,7,1,0.004694579169154167,0.95,0.6666666666666666,1.0,0.5
2,7,1,0.0031094742007553577,1.0,0.8,0.6666666666666666,1.0
3,4,1,0.002089904621243477,0.9266666666666665,0.8,0.8,0.8
4,5,1,0.0019558125641196966,0.8314285714285714,0.6666666666666666,0.75,0.6
5,7,1,0.004071454051882029,0.7403030303030302,0.5,0.6666666666666666,0.4
6,7,1,0.004702035337686539,1.0,0.4,1.0,0.25
7,5,1,0.0018713065655902028,1.0,1.0,1.0,1.0
8,4,1,0.002089904621243477,0.8583333333333332,0.7272727272727273,0.6666666666666666,0.8
9,7,1,0.0031094742007553577,0.7294117647058824,0.6666666666666666,0.75,0.6
10,5,1,0.0018713065655902028,0.7767857142857142,0.6666666666666666,0.5714285714285714,0.8
11,5,1,0.0018713065655902028,1.0,1.0,1.0,1.0
12,7,1,0.0031094742007553577,0.7794117647058824,0.75,0.75,0.75
13,3,1,0.0023269918747246265,0.6542424242424243,0.3333333333333333,1.0,0.2
14,5,1,0.0018713065655902028,1.0,0.8333333333333334,0.7142857142857143,1.0
15,5,1,0.0018713065655902028,0.8666666666666667,0.7272727272727273,0.6666666666666666,0.8
