dataset,method,sample_id,split,label,target,score_value,outer_fold
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0001,validation,chatter,1,1.507437501886433,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0002,validation,chatter,1,1.507437501886433,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0011,validation,chatter,1,0.2263308130978794,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0000,validation,no_chatter,0,-0.05680695647898437,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0004,validation,no_chatter,0,-0.2018855763401053,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0012,validation,no_chatter,0,-0.3102875656646955,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0013,validation,no_chatter,0,-0.17555094520798442,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0021,validation,no_chatter,0,-0.4331017534607189,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0023,validation,no_chatter,0,-0.36614022718958283,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p030_window_0011,validation,no_chatter,0,-0.3873237751792198,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p040_window_0022,test,no_chatter,0,-0.3754174628839524,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p050_window_0009,test,no_chatter,0,-0.40929135856241317,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p050_window_0023,test,no_chatter,0,-0.5745011026050844,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm425_doc0p010_window_0000,validation,no_chatter,0,-0.026029378966255123,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm425_doc0p017_window_0002,validation,no_chatter,0,-0.43219463518813317,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm425_doc0p025_window_0002,test,no_chatter,0,-0.2717103285706117,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm425_doc0p025_window_0006,validation,chatter,1,0.9863287892105712,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm570_doc0p001_window_0003,validation,chatter,1,0.3553169679255437,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm570_doc0p001_window_0004,validation,chatter,1,0.5175926478787544,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm570_doc0p002_window_0002,test,chatter,1,0.4111489966081072,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p002_window_0002,validation,chatter,1,1.507437501886433,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p005_window_0003,validation,chatter,1,1.507437501886433,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p005_window_0010,validation,chatter,1,1.507437501886433,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p010_window_0002,test,chatter,1,1.507437501886433,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p010_window_0008,test,chatter,1,1.507437501886433,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p010_window_0013,test,chatter,1,1.507437501886433,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_smoothingCut2_noChatter_window_0001,test,no_chatter,0,0.04124829703198296,1
turning,one_class_svm_image_features,2p5inchStickout_F_12-Jun-2017_rpm570_doc0p003_window_0001,test,no_chatter,0,-0.14799302074277065,1
turning,one_class_svm_image_features,2p5inchStickout_F_12-Jun-2017_rpm570_doc0p005_window_0000,test,no_chatter,0,-0.07691928160264694,1
turning,one_class_svm_image_features,3p5inchStickout_F_14-Jun-2017_rpm770_doc0p005_window_0000,validation,no_chatter,0,-0.06981398565287322,1
turning,one_class_svm_image_features,3p5inchStickout_F_14-Jun-2017_rpm770_doc0p015_window_0000,validation,no_chatter,0,-0.07012426375430847,1
turning,one_class_svm_image_features,4p5inchStickout_F_12-Jun-2017_rpm570_doc0p025_window_0006,test,no_chatter,0,-0.1965964549499979,1
turning,one_class_svm_image_features,4p5inchStickout_F_13-Jun-2017_rpm1030_doc0p010_window_0001,test,no_chatter,0,0.008990440264473154,1
turning,one_class_svm_image_features,4p5inchStickout_F_13-Jun-2017_rpm1030_doc0p012_window_0002,test,no_chatter,0,-0.16541697851822756,1
turning,one_class_svm_image_features,4p5inchStickout_F_13-Jun-2017_rpm1030_doc0p013_window_0000,test,no_chatter,0,-0.015801031636206275,1
turning,one_class_svm_image_features,4p5inchStickout_F_13-Jun-2017_rpm770_doc0p015_window_0004,validation,no_chatter,0,-0.16096571581203478,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0001,validation,chatter,1,0.2780118505178505,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0002,validation,chatter,1,0.27620989599628054,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0011,validation,chatter,1,0.045325628913368665,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0000,validation,no_chatter,0,-0.1240238667360335,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0004,validation,no_chatter,0,-0.09944304126181602,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0012,validation,no_chatter,0,-0.09603886906808717,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0013,validation,no_chatter,0,-0.07468075648360567,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0021,validation,no_chatter,0,-0.09974723640368938,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0023,validation,no_chatter,0,-0.10181939090806535,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p030_window_0011,validation,no_chatter,0,-0.11044449136414569,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p040_window_0022,test,no_chatter,0,-0.08520948069610373,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p050_window_0009,test,no_chatter,0,-0.10709878907043835,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p050_window_0023,test,no_chatter,0,-0.1168930985098901,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm425_doc0p010_window_0000,validation,no_chatter,0,-0.12421995776818356,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm425_doc0p017_window_0002,validation,no_chatter,0,-0.12242980105584444,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm425_doc0p025_window_0002,test,no_chatter,0,-0.09391293880023033,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm425_doc0p025_window_0006,validation,chatter,1,0.15291168121977605,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm570_doc0p001_window_0003,validation,chatter,1,0.16301956096905046,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm570_doc0p001_window_0004,validation,chatter,1,0.18647051818939986,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm570_doc0p002_window_0002,test,chatter,1,0.05762267222851103,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p002_window_0002,validation,chatter,1,0.23822218811158558,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p005_window_0003,validation,chatter,1,0.27306524523832953,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p005_window_0010,validation,chatter,1,0.23340009804994877,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p010_window_0002,test,chatter,1,0.24962741826008983,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p010_window_0008,test,chatter,1,0.2572739690547109,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p010_window_0013,test,chatter,1,0.2365558489597176,1
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_smoothingCut2_noChatter_window_0001,test,no_chatter,0,-0.06862224522071514,1
turning,isolation_forest_image_features,2p5inchStickout_F_12-Jun-2017_rpm570_doc0p003_window_0001,test,no_chatter,0,-0.08433089506118358,1
turning,isolation_forest_image_features,2p5inchStickout_F_12-Jun-2017_rpm570_doc0p005_window_0000,test,no_chatter,0,-0.11781637547736434,1
turning,isolation_forest_image_features,3p5inchStickout_F_14-Jun-2017_rpm770_doc0p005_window_0000,validation,no_chatter,0,-0.06010320916699641,1
turning,isolation_forest_image_features,3p5inchStickout_F_14-Jun-2017_rpm770_doc0p015_window_0000,validation,no_chatter,0,-0.06658062803208203,1
turning,isolation_forest_image_features,4p5inchStickout_F_12-Jun-2017_rpm570_doc0p025_window_0006,test,no_chatter,0,-0.06781874929544679,1
turning,isolation_forest_image_features,4p5inchStickout_F_13-Jun-2017_rpm1030_doc0p010_window_0001,test,no_chatter,0,0.06521476525284453,1
turning,isolation_forest_image_features,4p5inchStickout_F_13-Jun-2017_rpm1030_doc0p012_window_0002,test,no_chatter,0,-0.021482731901306062,1
turning,isolation_forest_image_features,4p5inchStickout_F_13-Jun-2017_rpm1030_doc0p013_window_0000,test,no_chatter,0,-0.08667443936446545,1
turning,isolation_forest_image_features,4p5inchStickout_F_13-Jun-2017_rpm770_doc0p015_window_0004,validation,no_chatter,0,-0.045316168074215124,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0001,validation,chatter,1,0.00715983472764492,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0002,validation,chatter,1,0.005693373735994101,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0011,validation,chatter,1,0.0010372501565143466,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0000,validation,no_chatter,0,1.59001810970949e-05,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0004,validation,no_chatter,0,0.00018056659610010684,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0012,validation,no_chatter,0,0.0012166822561994195,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0013,validation,no_chatter,0,0.001294199377298355,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0021,validation,no_chatter,0,0.0006412913207896054,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0023,validation,no_chatter,0,0.0007469362462870777,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p030_window_0011,validation,no_chatter,0,0.0003666516859084368,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p040_window_0022,test,no_chatter,0,0.00040877677383832633,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p050_window_0009,test,no_chatter,0,0.00038779963506385684,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm320_doc0p050_window_0023,test,no_chatter,0,0.0005174997495487332,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm425_doc0p010_window_0000,validation,no_chatter,0,1.7923181076184846e-05,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm425_doc0p017_window_0002,validation,no_chatter,0,0.0005939912516623735,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm425_doc0p025_window_0002,test,no_chatter,0,0.0006583482027053833,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm425_doc0p025_window_0006,validation,chatter,1,0.001600679475814104,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm570_doc0p001_window_0003,validation,chatter,1,0.0013813682598993182,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm570_doc0p001_window_0004,validation,chatter,1,0.001353343715891242,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm570_doc0p002_window_0002,test,chatter,1,0.0023478190414607525,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm770_doc0p002_window_0002,validation,chatter,1,0.007255937904119492,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm770_doc0p005_window_0003,validation,chatter,1,0.004540582187473774,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm770_doc0p005_window_0010,validation,chatter,1,0.004956486634910107,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm770_doc0p010_window_0002,test,chatter,1,0.0031756116077303886,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm770_doc0p010_window_0008,test,chatter,1,0.003135407343506813,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_rpm770_doc0p010_window_0013,test,chatter,1,0.0025386582128703594,1
turning,pca_image_reconstruction,2inchStickout_F_08-Jun-2017_smoothingCut2_noChatter_window_0001,test,no_chatter,0,0.00045161688467487693,1
turning,pca_image_reconstruction,2p5inchStickout_F_12-Jun-2017_rpm570_doc0p003_window_0001,test,no_chatter,0,0.0003258785291109234,1
turning,pca_image_reconstruction,2p5inchStickout_F_12-Jun-2017_rpm570_doc0p005_window_0000,test,no_chatter,0,0.00012628041440621018,1
turning,pca_image_reconstruction,3p5inchStickout_F_14-Jun-2017_rpm770_doc0p005_window_0000,validation,no_chatter,0,3.017824019480031e-05,1
turning,pca_image_reconstruction,3p5inchStickout_F_14-Jun-2017_rpm770_doc0p015_window_0000,validation,no_chatter,0,2.5871240723063238e-05,1
turning,pca_image_reconstruction,4p5inchStickout_F_12-Jun-2017_rpm570_doc0p025_window_0006,test,no_chatter,0,0.0003260432567913085,1
turning,pca_image_reconstruction,4p5inchStickout_F_13-Jun-2017_rpm1030_doc0p010_window_0001,test,no_chatter,0,0.0009453750099055469,1
turning,pca_image_reconstruction,4p5inchStickout_F_13-Jun-2017_rpm1030_doc0p012_window_0002,test,no_chatter,0,0.0007146106800064445,1
turning,pca_image_reconstruction,4p5inchStickout_F_13-Jun-2017_rpm1030_doc0p013_window_0000,test,no_chatter,0,8.735802111914381e-06,1
turning,pca_image_reconstruction,4p5inchStickout_F_13-Jun-2017_rpm770_doc0p015_window_0004,validation,no_chatter,0,0.0010458675678819418,1
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0007,validation,chatter,1,0.7046397728558659,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0005,validation,no_chatter,0,-0.24813411983752354,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0008,validation,no_chatter,0,-0.43465424566532795,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0006,validation,no_chatter,0,-0.26051583679087265,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0022,validation,no_chatter,0,-0.23993542096952125,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0017,validation,no_chatter,0,-0.33302419107516923,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p035_window_0020,validation,no_chatter,0,-0.46581291681275205,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p040_window_0000,test,no_chatter,0,-0.05734214114498948,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p050_window_0008,test,no_chatter,0,-0.3980313306426182,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p050_window_0017,test,no_chatter,0,-0.43670524105488284,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm425_doc0p017_window_0003,validation,no_chatter,0,-0.4702148081670652,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm425_doc0p020_window_0002,test,no_chatter,0,-0.339793567167169,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm425_doc0p020_window_0005,test,no_chatter,0,0.1651853548136517,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm425_doc0p025_window_0005,validation,chatter,1,0.875090304824515,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm570_doc0p001_window_0002,validation,chatter,1,-0.099169765635861,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm570_doc0p005_window_0001,test,no_chatter,0,-0.21403705498481407,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm570_doc0p005_window_0002,test,chatter,1,0.15707766780726717,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p001_window_0006,test,chatter,1,0.8066315050879537,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p005_window_0001,validation,chatter,1,1.507437501886433,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p010_window_0001,test,chatter,1,1.507437501886433,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p010_window_0006,test,chatter,1,1.507437501886433,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p010_window_0009,test,chatter,1,1.507437501886433,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p010_window_0010,test,chatter,1,1.507437501886433,2
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm770_doc0p010_window_0012,test,chatter,1,1.507437501886433,2
turning,one_class_svm_image_features,2p5inchStickout_F_12-Jun-2017_rpm570_doc0p008_window_0009,validation,no_chatter,0,-0.49469089753175166,2
turning,one_class_svm_image_features,2p5inchStickout_F_12-Jun-2017_rpm570_doc0p010_window_0006,test,no_chatter,0,-0.26996026461584144,2
turning,one_class_svm_image_features,2p5inchStickout_F_12-Jun-2017_rpm570_doc0p010_window_0009,test,no_chatter,0,-0.4407791555827787,2
turning,one_class_svm_image_features,2p5inchStickout_F_12-Jun-2017_rpm570_doc0p012_window_0008,validation,no_chatter,0,-0.454439939262095,2
turning,one_class_svm_image_features,2p5inchStickout_F_12-Jun-2017_rpm570_doc0p012_window_0009,validation,no_chatter,0,-0.5324677266258424,2
turning,one_class_svm_image_features,2p5inchStickout_F_12-Jun-2017_rpm570_doc0p015_trial2_window_0002,test,chatter,1,0.8564735391672547,2
turning,one_class_svm_image_features,3inchStickout_F_12-Jun-2017_rpm570_doc0p015_window_0001,test,no_chatter,0,-0.0852695214048611,2
turning,one_class_svm_image_features,4p5inchStickout_F_12-Jun-2017_rpm570_doc0p005_window_0002,validation,no_chatter,0,-0.0003595456184990464,2
turning,one_class_svm_image_features,4p5inchStickout_F_13-Jun-2017_rpm1030_doc0p015_window_0003,validation,no_chatter,0,0.2359021769647085,2
turning,one_class_svm_image_features,4p5inchStickout_F_13-Jun-2017_rpm770_doc0p015_window_0001,validation,no_chatter,0,0.030449398606014144,2
turning,one_class_svm_image_features,4p5inchStickout_F_13-Jun-2017_rpm770_doc0p015_window_0002,validation,no_chatter,0,-0.2362104110826342,2
turning,one_class_svm_image_features,4p5inchStickout_F_13-Jun-2017_rpm770_doc0p015_window_0005,validation,no_chatter,0,-0.1676490286400527,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0007,validation,chatter,1,0.1242920314666569,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0005,validation,no_chatter,0,-0.11353512196338855,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0008,validation,no_chatter,0,-0.09717619892195029,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0006,validation,no_chatter,0,-0.10644309625579035,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0022,validation,no_chatter,0,-0.10670816621570262,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p025_window_0017,validation,no_chatter,0,-0.09153685290145319,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p035_window_0020,validation,no_chatter,0,-0.11405335614020817,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p040_window_0000,test,no_chatter,0,-0.12473321864086728,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p050_window_0008,test,no_chatter,0,-0.1195938351392003,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p050_window_0017,test,no_chatter,0,-0.12541555759199957,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm425_doc0p017_window_0003,validation,no_chatter,0,-0.09376630410155606,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm425_doc0p020_window_0002,test,no_chatter,0,-0.09100826932694023,2
turning,isolation_forest_image_features,2inchStickout_F_08-Jun-2017_rpm425_doc0p020_window_0005,test,no_chatter,0,0.017193828739291317,2
