source_dataset,process,stickout,source_run,rpm,doc,window,sample_id,label,original_image_split,npz_path,image_path,split,target,global_mse,global_mae,sve_max,sve_topk
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm1030_doc0p001,1030.0,0p001,1,2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0001,chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm1030_doc0p001/F_08-Jun-2017_rpm1030_doc0p001_window_0001.npz",data/02_spectrograms_150x100px_dataset/validation/chatter/2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0001_chatter.png,validation,1,0.030536773,0.12193266,0.042054113,0.04181892
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm1030_doc0p001,1030.0,0p001,2,2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0002,chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm1030_doc0p001/F_08-Jun-2017_rpm1030_doc0p001_window_0002.npz",data/02_spectrograms_150x100px_dataset/validation/chatter/2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0002_chatter.png,validation,1,0.03758923,0.14270474,0.053067263,0.04764131
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm1030_doc0p001,1030.0,0p001,3,2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0003,chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm1030_doc0p001/F_08-Jun-2017_rpm1030_doc0p001_window_0003.npz",data/02_spectrograms_150x100px_dataset/validation/chatter/2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0003_chatter.png,validation,1,0.037522748,0.14573579,0.04741504,0.045089822
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p005,320.0,0p005,5,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0005,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p005/F_08-Jun-2017_rpm320_doc0p005_window_0005.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0005_no_chatter.png,validation,0,0.005719466,0.03814839,0.007725196,0.0076011135
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p005,320.0,0p005,6,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0006,chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p005/F_08-Jun-2017_rpm320_doc0p005_window_0006.npz",data/02_spectrograms_150x100px_dataset/validation/chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0006_chatter.png,validation,1,0.0036446087,0.033822335,0.00754717,0.005810019
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p005,320.0,0p005,7,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0007,chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p005/F_08-Jun-2017_rpm320_doc0p005_window_0007.npz",data/02_spectrograms_150x100px_dataset/validation/chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0007_chatter.png,validation,1,0.0032112552,0.033301976,0.0037520311,0.003589276
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p005,320.0,0p005,8,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0008,chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p005/F_08-Jun-2017_rpm320_doc0p005_window_0008.npz",data/02_spectrograms_150x100px_dataset/validation/chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0008_chatter.png,validation,1,0.004551481,0.040179275,0.0057433504,0.005311068
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p005,320.0,0p005,9,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0009,chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p005/F_08-Jun-2017_rpm320_doc0p005_window_0009.npz",data/02_spectrograms_150x100px_dataset/validation/chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0009_chatter.png,validation,1,0.0035652202,0.032904085,0.006442002,0.004801131
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p005,320.0,0p005,10,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0010,chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p005/F_08-Jun-2017_rpm320_doc0p005_window_0010.npz",data/02_spectrograms_150x100px_dataset/validation/chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0010_chatter.png,validation,1,0.003542026,0.03240632,0.005494612,0.0044458252
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p005,320.0,0p005,11,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0011,chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p005/F_08-Jun-2017_rpm320_doc0p005_window_0011.npz",data/02_spectrograms_150x100px_dataset/validation/chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0011_chatter.png,validation,1,0.0041430113,0.03554699,0.005068489,0.0048406348
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p010,320.0,0p010,5,2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0005,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p010/F_08-Jun-2017_rpm320_doc0p010_window_0005.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0005_no_chatter.png,validation,0,0.00039265116,0.009204394,0.0006302592,0.00053963135
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p010,320.0,0p010,6,2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0006,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p010/F_08-Jun-2017_rpm320_doc0p010_window_0006.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0006_no_chatter.png,validation,0,0.00045373023,0.010238923,0.0007580827,0.0006286493
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p010,320.0,0p010,8,2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0008,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p010/F_08-Jun-2017_rpm320_doc0p010_window_0008.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0008_no_chatter.png,validation,0,0.0012853079,0.018723248,0.0015518247,0.0014804258
