score,PR-AUC [95% CI],F1 [95% CI],Recall [95% CI]
sve_max,"0.992 [0.969, 1.000]","0.927 [0.829, 1.000]","0.864 [0.708, 1.000]"
maxpool_mse_25x25,"0.919 [0.806, 1.000]","0.872 [0.727, 0.971]","0.773 [0.571, 0.944]"
maxpool_mse_35x35,"0.916 [0.807, 1.000]","0.842 [0.692, 0.944]","0.727 [0.529, 0.895]"
maxpool_mse_9x9,"0.909 [0.792, 0.993]","0.842 [0.687, 0.944]","0.727 [0.524, 0.895]"
maxpool_mse_15x15,"0.913 [0.801, 1.000]","0.842 [0.688, 0.945]","0.727 [0.524, 0.895]"
maxpool_mse_51x51,"0.897 [0.782, 0.986]","0.821 [0.667, 0.933]","0.727 [0.529, 0.895]"
maxpool_mse_5x5,"0.795 [0.632, 0.927]","0.743 [0.545, 0.884]","0.591 [0.375, 0.792]"
maxpool_mse_75x75,"0.831 [0.677, 0.943]","0.743 [0.552, 0.884]","0.591 [0.381, 0.792]"
sve_topk,"0.851 [0.705, 0.959]","0.706 [0.500, 0.857]","0.545 [0.333, 0.750]"
global_mse,"0.593 [0.394, 0.771]","0.667 [0.444, 0.824]","0.500 [0.286, 0.700]"
maxpool_mse_3x3,"0.711 [0.531, 0.870]","0.667 [0.444, 0.824]","0.500 [0.286, 0.700]"
maxpool_mse_101x101,"0.941 [0.857, 0.992]","0.625 [0.414, 0.800]","0.455 [0.261, 0.667]"
global_mae,"0.465 [0.274, 0.650]","0.516 [0.273, 0.706]","0.364 [0.167, 0.571]"
