dataset,method,score,threshold,pr_auc,f1,precision,recall,tn,fp,fn,tp,pr_auc_ci_low,pr_auc_ci_high,f1_ci_low,f1_ci_high,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,bootstrap_n_effective
broach_dataset,cnn_ae,global_mse,0.0011308841640129685,0.5929314500099551,0.6666666666666666,1.0,0.5,2478,0,11,11,0.39423857219958636,0.7712554299849518,0.4444444444444444,0.8235294117647058,1.0,1.0,0.2857142857142857,0.7,1000
broach_dataset,cnn_ae,global_mae,0.01394901517778635,0.46515853366281196,0.5161290322580645,0.8888888888888888,0.36363636363636365,2477,1,14,8,0.2735745217061105,0.6502604606840984,0.2727272727272727,0.705977229601518,0.6363636363636364,1.0,0.16666666666666666,0.5714285714285714,1000
broach_dataset,cnn_ae,sve_max,0.003437515813857317,0.9922595520421609,0.926829268292683,1.0,0.8636363636363636,2478,0,3,19,0.9691424689440996,1.0,0.8291715060007743,1.0,1.0,1.0,0.7081925675675677,1.0,1000
broach_dataset,cnn_ae,sve_topk,0.00252803904004395,0.8507028525281191,0.7058823529411765,1.0,0.5454545454545454,2478,0,10,12,0.7054783727638461,0.9590390973876819,0.5,0.8571428571428571,1.0,1.0,0.3333333333333333,0.75,1000
broach_dataset,cnn_ae,maxpool_mse_3x3,0.0032608446199446917,0.710810137708191,0.6666666666666666,1.0,0.5,2478,0,11,11,0.5311063081785422,0.8702413666137995,0.4444444444444444,0.8235294117647058,1.0,1.0,0.2857142857142857,0.7,1000
broach_dataset,cnn_ae,maxpool_mse_5x5,0.005449076183140278,0.7954866552324342,0.7428571428571429,1.0,0.5909090909090909,2478,0,9,13,0.6319070357657904,0.926710161250853,0.5454545454545454,0.8837209302325582,1.0,1.0,0.375,0.7916666666666666,1000
broach_dataset,cnn_ae,maxpool_mse_9x9,0.009615123271942139,0.9087695233804725,0.8421052631578947,1.0,0.7272727272727273,2478,0,6,16,0.7915331050066979,0.9928809155241045,0.6874553571428571,0.944469696969697,1.0,1.0,0.5237577639751553,0.8947822141560798,1000
broach_dataset,cnn_ae,maxpool_mse_15x15,0.016753898933529854,0.9133362006219808,0.8421052631578947,1.0,0.7272727272727273,2478,0,6,16,0.8011886941355219,1.0,0.6875,0.944517543859649,1.0,1.0,0.5238095238095238,0.8948684210526314,1000
broach_dataset,cnn_ae,maxpool_mse_25x25,0.029332464560866356,0.918870523415978,0.8717948717948718,1.0,0.7727272727272727,2478,0,5,17,0.8063172000032794,1.0,0.7272727272727273,0.9714285714285714,1.0,1.0,0.5714285714285714,0.9444444444444444,1000
broach_dataset,cnn_ae,maxpool_mse_35x35,0.042228978127241135,0.9162223137909635,0.8421052631578947,1.0,0.7272727272727273,2478,0,6,16,0.8072671062163602,0.9999999999999998,0.6923076923076923,0.944469696969697,1.0,1.0,0.5294117647058824,0.8947822141560798,1000
broach_dataset,cnn_ae,maxpool_mse_51x51,0.06411188095808029,0.8967154642706527,0.8205128205128205,0.9411764705882353,0.7272727272727273,2477,1,6,16,0.7821122801048479,0.9860379392586558,0.6666666666666666,0.9333333333333333,0.8,1.0,0.5294117647058824,0.8947822141560798,1000
broach_dataset,cnn_ae,maxpool_mse_75x75,0.10127387195825577,0.8307153061991769,0.7428571428571429,1.0,0.5909090909090909,2478,0,9,13,0.6770949143471712,0.942878464567042,0.5515673981191223,0.8838501291989663,1.0,1.0,0.3808035714285714,0.7918749999999998,1000
broach_dataset,cnn_ae,maxpool_mse_101x101,0.1457902491092682,0.9412444721769871,0.625,1.0,0.45454545454545453,2478,0,12,10,0.856988054346385,0.9920749819643326,0.4137423935091278,0.8,1.0,1.0,0.260829307568438,0.6666666666666666,1000
