dataset,outer_fold,method,score,threshold,pr_auc,f1,precision,recall,tn,fp,fn,tp
turning,1,one_class_svm_image_features,anomaly_score,0.2504100473787465,1.0,0.96,1.0,0.9230769230769231,23,0,1,12
turning,1,isolation_forest_image_features,anomaly_score,0.07870184901380106,0.9885883347421807,0.9166666666666666,1.0,0.8461538461538461,23,0,2,11
turning,1,pca_image_reconstruction,reconstruction_mse,0.0014783095102757215,0.9855769230769229,0.8695652173913043,1.0,0.7692307692307693,23,0,3,10
turning,2,one_class_svm_image_features,anomaly_score,0.2504100473787465,0.9594017094017093,0.9090909090909091,1.0,0.8333333333333334,24,0,2,10
turning,2,isolation_forest_image_features,anomaly_score,0.05750237594101015,0.9935897435897437,0.96,0.9230769230769231,1.0,23,1,0,12
turning,2,pca_image_reconstruction,reconstruction_mse,0.0014959645923227072,0.9559824434824434,0.8695652173913043,0.9090909090909091,0.8333333333333334,23,1,2,10
turning,3,one_class_svm_image_features,anomaly_score,0.25666699311518437,0.9573412698412698,0.88,0.8461538461538461,0.9166666666666666,22,2,1,11
turning,3,isolation_forest_image_features,anomaly_score,0.07925139391654856,0.9652417027417027,0.8695652173913043,0.9090909090909091,0.8333333333333334,23,1,2,10
turning,3,pca_image_reconstruction,reconstruction_mse,0.0014783095102757215,0.9364357864357865,0.8888888888888888,0.8,1.0,21,3,0,12
turning,4,one_class_svm_image_features,anomaly_score,0.3553169679255437,1.0,0.9090909090909091,1.0,0.8333333333333334,24,0,2,10
turning,4,isolation_forest_image_features,anomaly_score,0.05762267222851103,1.0,0.9565217391304348,1.0,0.9166666666666666,24,0,1,11
turning,4,pca_image_reconstruction,reconstruction_mse,0.0014783095102757215,0.9866452991452993,0.96,0.9230769230769231,1.0,23,1,0,12
turning,5,one_class_svm_image_features,anomaly_score,0.3553169679255437,1.0,0.9090909090909091,1.0,0.8333333333333334,23,0,2,10
turning,5,isolation_forest_image_features,anomaly_score,0.05750237594101015,1.0,0.9565217391304348,1.0,0.9166666666666666,23,0,1,11
turning,5,pca_image_reconstruction,reconstruction_mse,0.0014783095102757215,0.9833333333333335,0.9565217391304348,1.0,0.9166666666666666,23,0,1,11
