segments,top_k,threshold,pr_auc,f1
2,1,0.0014728045789524913,0.6694101004512658,0.7428571428571429
2,3,0.0014728045789524913,0.6694101004512658,0.7428571428571429
2,5,0.0014728045789524913,0.6694101004512658,0.7428571428571429
2,10,0.0014728045789524913,0.6694101004512658,0.7428571428571429
5,1,0.0028304895386099815,0.9494098000025566,0.6666666666666666
5,3,0.0028304895386099815,0.9494098000025566,0.6666666666666666
5,5,0.0028304895386099815,0.9494098000025566,0.6666666666666666
5,10,0.0028304895386099815,0.9494098000025566,0.6666666666666666
10,1,0.003509104484692216,0.9731750761465394,0.9090909090909091
10,3,0.003509104484692216,0.9731750761465394,0.9090909090909091
10,5,0.003509104484692216,0.9731750761465394,0.9090909090909091
10,10,0.003509104484692216,0.9731750761465394,0.9090909090909091
15,1,0.0045838868245482445,0.9661905965621841,0.926829268292683
15,3,0.0045838868245482445,0.9661905965621841,0.926829268292683
15,5,0.0045838868245482445,0.9661905965621841,0.926829268292683
15,10,0.0045838868245482445,0.9661905965621841,0.926829268292683
20,1,0.005765834823250771,0.9234035164267116,0.8717948717948718
20,3,0.005765834823250771,0.9234035164267116,0.8717948717948718
20,5,0.005765834823250771,0.9234035164267116,0.8717948717948718
20,10,0.005765834823250771,0.9234035164267116,0.8717948717948718
25,1,0.008181682787835598,0.6922811037290644,0.5806451612903226
25,3,0.008181682787835598,0.6922811037290644,0.5806451612903226
25,5,0.008181682787835598,0.6922811037290644,0.5806451612903226
25,10,0.008181682787835598,0.6922811037290644,0.5806451612903226
30,1,0.008294623345136642,0.7321998401148572,0.7
30,3,0.008294623345136642,0.7321998401148572,0.7
30,5,0.008294623345136642,0.7321998401148572,0.7
30,10,0.008294623345136642,0.7321998401148572,0.7
